vintage,country,points,price,province,title,variety,winery,avg winter temp,avg spring temp,avg summer temp,avg fall temp,avg winter sun hour,avg spring hour,avg summer sun hour,avg fall sun hour,avg daily precip winter,avg daily precip spring,avg daily precip summer,avg daily precip fall
2010-01-01,Italy,88,55,Tuscany,Fattoria dei Barbi 2010 Brunello di Montalcino,Sangiovese,Fattoria dei Barbi,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,20,Tuscany,Rocca di Frassinello 2010 Poggio alla Guardia (Maremma Toscana),Red Blend,Rocca di Frassinello,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,15,Tuscany,Cipriana 2010 Bolgheri,Red Blend,Cipriana,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,91,90,Tuscany,Poggio al Tesoro 2010 Dedicato a Walter Cabernet Franc (Toscana),Cabernet Franc,Poggio al Tesoro,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,,Tuscany,Ferrari Iris e Figli 2010 Bolgheri,Red Blend,Ferrari Iris e Figli,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,88,25,Tuscany,Poggio Mandorlo 2010 La Querce (Montecucco),Red Blend,Poggio Mandorlo,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,89,15,Tuscany,Fattoria La Lecciaia 2010 Rosso di Montalcino,Sangiovese Grosso,Fattoria La Lecciaia,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,86,14,Tuscany,San Quirico 2010 Vernaccia (San Gimignano),Vernaccia,San Quirico,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,87,,Tuscany,Campo al Noce 2010 Assiolo (Bolgheri),Red Blend,Campo al Noce,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,91,30,Tuscany,Marchesi Antinori 2010 Guado al Tasso Il Bruciato (Bolgheri),Red Blend,Marchesi Antinori,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,90,18,Tuscany,Pieve Vecchia 2010 Pieve dei Monaci (Maremma Toscana),Syrah,Pieve Vecchia,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2010-01-01,Italy,87,25,Tuscany,Marchesi de' Frescobaldi 2010 Riserva Pietraregia dell'Ammiraglia (Morellino di Scansano),Red Blend,Marchesi de' Frescobaldi,4.66111111111111,13.25,25.2717391304348,15.0824175824176,6.45111111111111,11.7597826086957,14.0978260869565,8.96703296703297,2.06,1.72065217391304,1.07608695652174,1.46153846153846
2011-01-01,Italy,90,115,Tuscany,Monteverro 2011 Tinata Red (Toscana),Red Blend,Monteverro,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,84,65,Tuscany,Cennatoio 2011 Etrusco Sangiovese (Toscana),Sangiovese,Cennatoio,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,94,95,Tuscany,La Poderina 2011 Poggio Abate Riserva (Brunello di Montalcino),Sangiovese,La Poderina,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,14,Tuscany,Fattoria di Casalbosco 2011 Chianti,Red Blend,Fattoria di Casalbosco,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,20,Tuscany,Rampa di Fugnano 2011 Alata (Vernaccia di San Gimignano),Vernaccia,Rampa di Fugnano,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,20,Tuscany,Fattoria Le Pupille 2011 Poggio Argentato White (Toscana),White Blend,Fattoria Le Pupille,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,23,Tuscany,Val delle Rose 2011 Morellino di Scansano,Red Blend,Val delle Rose,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,60,Tuscany,Fornacina 2011 Brunello di Montalcino,Sangiovese,Fornacina,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,37,Tuscany,Fattoria di Petroio 2011 Lenzi Riserva (Chianti Classico),Sangiovese,Fattoria di Petroio,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,64,Tuscany,Casa di Terra 2011 Mosaico (Bolgheri),Red Blend,Casa di Terra,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,92,70,Tuscany,Fattoi 2011 Brunello di Montalcino,Sangiovese,Fattoi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,20,Tuscany,Fattoria Tregole 2011 Chianti Classico,Sangiovese,Fattoria Tregole,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,88,17,Tuscany,Suberli 2011 Riserva (Morellino di Scansano),Red Blend,Suberli,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,20,Tuscany,Poggio al Tesoro 2011 Solosole Vermentino (Toscana),Vermentino,Poggio al Tesoro,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,19,Tuscany,Colognole 2011 Chianti Rufina,Sangiovese,Colognole,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,99,Tuscany,Val di Suga 2011 Poggio al Granchio (Brunello di Montalcino),Sangiovese,Val di Suga,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,25,Tuscany,Riecine 2011 Chianti Classico,Sangiovese,Riecine,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,16,Tuscany,Cà del Vispo 2011 Massimo Daldin (Vernaccia di San Gimignano),Vernaccia,Cà del Vispo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,86,18,Tuscany,La Selva 2011 Vermentino (Maremma),Vermentino,La Selva,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,88,28,Tuscany,Serni Fulvio Luigi 2011 Tegoleto (Bolgheri),Red Blend,Serni Fulvio Luigi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,25,Tuscany,Russo 2011 Ceppitaio Red (Val di Cornia Suvereto),Red Blend,Russo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,88,90,Tuscany,Poggio Nardone 2011 Riserva (Brunello di Montalcino),Sangiovese,Poggio Nardone,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,58,Tuscany,Il Grappolo 2011 Sassocheto (Brunello di Montalcino),Sangiovese,Il Grappolo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,60,Tuscany,Bindi Sergardi 2011 Mocenni Gran Selezione (Chianti Classico),Red Blend,Bindi Sergardi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,19,Tuscany,Tenuta di Lilliano 2011 Chianti Classico,Red Blend,Tenuta di Lilliano,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,20,Tuscany,PoderNuovo a Palazzone 2011 Therra Red (Toscana),Red Blend,PoderNuovo a Palazzone,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,,Tuscany,San Felice 2011 Villa La Pagliaia Riserva (Chianti Classico),Sangiovese,San Felice,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,88,50,Tuscany,Diadema 2011 D'Amare White (Toscana),White Blend,Diadema,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,91,51,Tuscany,Abbadia Ardenga 2011 Brunello di Montalcino,Sangiovese,Abbadia Ardenga,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,55,Tuscany,Donna Olga 2011 Brunello di Montalcino,Sangiovese,Donna Olga,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,86,40,Tuscany,Il Cavalierino 2011 Vino Nobile di Montepulciano,Red Blend,Il Cavalierino,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,30,Tuscany,Fabio Motta 2011 Pievi (Bolgheri),Red Blend,Fabio Motta,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,60,Tuscany,Avignonesi 2011 Grandi Annate (Vino Nobile di Montepulciano),Sangiovese,Avignonesi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,49,Tuscany,Podere San Giacomo 2011 Brunello di Montalcino,Sangiovese,Podere San Giacomo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,91,35,Tuscany,Molino di Sant'Antimo 2011 Brunello di Montalcino,Sangiovese,Molino di Sant'Antimo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,88,19,Tuscany,Il Conventino 2011 Rosso di Montepulciano,Red Blend,Il Conventino,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,60,Tuscany,La Fortuna 2011 Brunello di Montalcino,Sangiovese,La Fortuna,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,51,Tuscany,Leopoldo I di Toscana 2011 Boschivo Red (Toscana),Red Blend,Leopoldo I di Toscana,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,26,Tuscany,Poggio Bonelli 2011 Chianti Classico,Red Blend,Poggio Bonelli,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,93,80,Tuscany,Poggio Antico 2011 Altero (Brunello di Montalcino),Sangiovese,Poggio Antico,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,17,Tuscany,Col d'Orcia 2011 Spezieri Red (Toscana),Red Blend,Col d'Orcia,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,38,Tuscany,Amantis 2011 Birbanera (Montecucco),Red Blend,Amantis,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,91,30,Tuscany,Dei 2011 Vino Nobile di Montepulciano,Red Blend,Dei,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,11,Tuscany,Banfi 2011 Centine Bianco White (Toscana),White Blend,Banfi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,22,Tuscany,Palazzo Vecchio 2011 Vino Nobile di Montepulciano,Red Blend,Palazzo Vecchio,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,34,Tuscany,Banfi 2011 Aska (Bolgheri),Red Blend,Banfi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,45,Tuscany,Principe Corsini 2011 Don Tommaso Gran Selezione (Chianti Classico),Red Blend,Principe Corsini,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,28,Tuscany,Castello della Paneretta 2011 Riserva (Chianti Classico),Red Blend,Castello della Paneretta,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,86,25,Tuscany,Machiavelli 2011 Solatio del Tani (Chianti Classico),Red Blend,Machiavelli,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,93,35,Tuscany,Nittardi 2011 Casanuova di Nittardi (Chianti Classico),Red Blend,Nittardi,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,92,45,Tuscany,Tenuta degli Dei 2011 Cavalli Red (Toscana),Red Blend,Tenuta degli Dei,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,91,20,Tuscany,Fattoria Le Pupille 2011 Morellino di Scansano,Red Blend,Fattoria Le Pupille,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,70,Tuscany,Sesta di Sopra 2011 Brunello di Montalcino,Sangiovese,Sesta di Sopra,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,25,Tuscany,Farnetella 2011 Riserva (Chianti Colli Senesi),Red Blend,Farnetella,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,93,55,Tuscany,Altesino 2011 Brunello di Montalcino,Sangiovese,Altesino,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,34,Tuscany,Il Marroneto 2011 Rosso di Montalcino,Sangiovese,Il Marroneto,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,52,Tuscany,Rocca delle MacÃ¬e 2011 Ser Gioveto Red (Toscana),Red Blend,Rocca delle MacÃ¬e,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,92,40,Tuscany,Tenuta di Lilliano 2011 Gran Selezione (Chianti Classico),Red Blend,Tenuta di Lilliano,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,92,79,Tuscany,Castelgiocondo 2011 Brunello di Montalcino,Sangiovese,Castelgiocondo,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,20,Tuscany,Mazzei 2011 Belguardo Bronzone (Morellino di Scansano),Sangiovese,Mazzei,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,,Tuscany,Voliero 2011 Brunello di Montalcino,Sangiovese,Voliero,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,87,14,Tuscany,La Castellina 2011 Chianti Classico,Red Blend,La Castellina,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,28,Tuscany,Fattoria Terre del Marchesato 2011 Emilio Primo (Bolgheri),Red Blend,Fattoria Terre del Marchesato,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,90,25,Tuscany,Villa Calcinaia 2011 Piegaia Riserva (Chianti Classico),Sangiovese,Villa Calcinaia,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,90,Tuscany,Castellare di Castellina 2011 I Sodi di San Niccolò Red (Toscana),Red Blend,Castellare di Castellina,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,92,45,Tuscany,Querceto di Castellina 2011 Sei Gran Selezione (Chianti Classico),Red Blend,Querceto di Castellina,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
2011-01-01,Italy,89,55,Tuscany,Tenuta di Vaira 2011 Bolgherese (Bolgheri Superiore),Red Blend,Tenuta di Vaira,5.25,15.4945652173913,24.1847826086957,16.6318681318681,7.04888888888889,12.3434782608696,14.1184782608696,9.66923076923077,1.30777777777778,0.980434782608696,1.72608695652174,0.586813186813187
